# From http://www.helmod.org/files/LIS/ProtonLIS_K.txt
# Last line removed because it introduces a discontinuity in the extrapolation to Ekin>100TeV
# Kinetic Energy [GeV], LIS [(m^2 s sr GeV)^{-1}]
Ekin Flux
1.134909733040969648e+01 1.924021917369032408e+01
1.214353414353837834e+01 1.609426873254886914e+01
1.299358153358606671e+01 1.344267902913662205e+01
1.390313224093709543e+01 1.121285999428407898e+01
1.487635149780269650e+01 9.341684433432988044e+00
1.591769610264888435e+01 7.774499942095099314e+00
1.703193482983430584e+01 6.464209938245481624e+00
1.822417026792271599e+01 5.370521991173162313e+00
1.949986218667730498e+01 4.458786545201419926e+00
2.086485253974472798e+01 3.699564677459649342e+00
2.232539221752686132e+01 3.068003788644058538e+00
2.388816967275374026e+01 2.543125443886141479e+00
2.556034154984645568e+01 2.107246276637475102e+00
2.734956545833571440e+01 1.745511044460166472e+00
2.926403504041921622e+01 1.445471836796246912e+00
3.131251749324857059e+01 1.196720602714723691e+00
3.350439371777598296e+01 9.905704877168084455e-01
3.584970127802031215e+01 8.197820747481704418e-01
3.835918036748172710e+01 6.783294543625810746e-01
4.104432299320546207e+01 5.612022019226736713e-01
4.391742560272985685e+01 4.642376616529385047e-01
4.699164539492095116e+01 3.839801909189329288e-01
5.028106057256542272e+01 3.175622930224761831e-01
5.380073481264501112e+01 2.626057064309874067e-01
5.756678624953018186e+01 2.171391190744449418e-01
6.159646128699730383e+01 1.795285531712613458e-01
6.590821357708712469e+01 1.484202495034307456e-01
7.052178852748323834e+01 1.226928336432102917e-01
7.545831372440709117e+01 1.014176990462948291e-01
8.074039568511560105e+01 8.382597767524367638e-02
8.639222338307371274e+01 6.928119277762428974e-02
9.243967901988888514e+01 5.725651735545430471e-02
9.891045655128112912e+01 4.731590231434504301e-02
1.058341885098708133e+02 3.909819213045553910e-02
1.132425817055618040e+02 3.230569219776838891e-02
1.211695624249511241e+02 2.669180779978147858e-02
1.296514317946977144e+02 2.205238557649611894e-02
1.387270320203265896e+02 1.821852869145527618e-02
1.484379242617494583e+02 1.505054886028190861e-02
1.588285789600719511e+02 1.243294057404093628e-02
1.699465794872770630e+02 1.027020050371673515e-02
1.818428400513864744e+02 8.483376569164488915e-03
1.945718388549835822e+02 7.007203061878724409e-03
2.081918675748324574e+02 5.787737639383533361e-03
2.227652983050707576e+02 4.780406946593204059e-03
2.383588691864257498e+02 3.948398229911126260e-03
2.550439900294756512e+02 3.261322897987420193e-03
2.728970693315390008e+02 2.694127332037428088e-03
2.919998641847467411e+02 2.226196381320516993e-03
3.124398546776791363e+02 1.840601363981710092e-03
3.343106445051166702e+02 1.523406185130053584e-03
3.577123896204749371e+02 1.262943795266803244e-03
3.827522568939082817e+02 1.049120116916383650e-03
4.095449148764819256e+02 8.731162448601879596e-04
4.382130589178357241e+02 7.275853073934563861e-04
4.688879730420833312e+02 6.067564299805087340e-04
5.017101311550292735e+02 5.061727300265913068e-04
5.368298403358816131e+02 4.223288005253030821e-04
5.744079291593933476e+02 3.523918469363304965e-04
